,Region,Country,year,total
0,Arab Region,Algeria,2016,1
1,Arab Region,Bahrain,2016,1
2,Asia and the Pacific,Bangladesh,2016,1
3,Latin America and the Caribbean,Brazil,2016,2
4,Africa,Chad,2016,1
5,Africa,Democratic Republic of the Congo,2016,1
6,Arab Region,Egypt,2016,2
7,Africa,Ethiopia,2016,3
8,Africa,Gabon,2016,1
9,Africa,Gambia,2016,1
10,Asia and the Pacific,India,2016,30
11,Arab Region,Iraq,2016,2
12,Arab Region,Libya,2016,1
13,Africa,Mali,2016,1
14,Central and Eastern Europe,Montenegro,2016,1
15,Arab Region,Morocco,2016,1
16,Asia and the Pacific,North Korea,2016,1
17,Asia and the Pacific,Pakistan,2016,9
18,Arab Region,Saudi Arabia,2016,1
19,Arab Region,Syria,2016,4
20,Western Europe and North America,Turkey,2016,5
21,Africa,Uganda,2016,2
22,Central and Eastern Europe,Uzbekistan,2016,1
23,Asia and the Pacific,Vietnam,2016,2
24,Africa,Zimbabwe,2016,1
25,Arab Region,Algeria,2017,1
26,Central and Eastern Europe,Belarus,2017,1
27,Africa,Cameroon,2017,2
28,Asia and the Pacific,China,2017,1
29,Africa,Democratic Republic of the Congo,2017,2
30,Africa,Equatorial Guinea,2017,2
31,Africa,Ethiopia,2017,2
32,Asia and the Pacific,India,2017,69
33,Arab Region,Iran,2017,2
34,Arab Region,Iraq,2017,4
35,Arab Region,Morocco,2017,1
36,Asia and the Pacific,North Korea,2017,1
37,Asia and the Pacific,Pakistan,2017,10
38,Asia and the Pacific,Philippines,2017,1
39,Africa,Somalia,2017,1
40,Arab Region,Syria,2017,3
41,Africa,Togo,2017,1
42,Central and Eastern Europe,Ukraine,2017,1
43,Arab Region,Yemen,2017,1
44,Arab Region,Algeria,2018,1
45,Asia and the Pacific,Bangladesh,2018,5
46,Africa,Cameroon,2018,1
47,Africa,Chad,2018,3
48,,C̫te d'Ivoire,2018,1
49,Africa,Democratic Republic of the Congo,2018,3
50,,DemocraticRepublicCongo,2018,1
51,Africa,Ethiopia,2018,6
52,Asia and the Pacific,India,2018,134
53,Asia and the Pacific,Indonesia,2018,1
54,Arab Region,Iraq,2018,7
55,Arab Region,Jordan,2018,1
56,Asia and the Pacific,Kazakhstan,2018,1
57,Africa,Mali,2018,2
58,Latin America and the Caribbean,Nicaragua,2018,1
59,Africa,Nigeria,2018,1
60,Asia and the Pacific,Pakistan,2018,11
61,Asia and the Pacific,Philippines,2018,2
62,Central and Eastern Europe,Russia,2018,2
63,Africa,Sierra Leone,2018,1
64,Asia and the Pacific,South Korea,2018,1
65,Asia and the Pacific,Sri Lanka,2018,1
66,Arab Region,Sudan,2018,2
67,Arab Region,Syria,2018,1
68,Africa,Togo,2018,1
69,Western Europe and North America,Turkey,2018,1
70,Arab Region,Yemen,2018,6
71,,Yemen ,2018,1
72,Arab Region,Algeria,2019,6
73,Asia and the Pacific,Bangladesh,2019,4
74,,Benin ,2019,2
75,Africa,Cameroon,2019,1
76,Asia and the Pacific,China,2019,1
77,Latin America and the Caribbean,Ecuador,2019,2
78,,Egypt ,2019,1
79,Africa,Eritrea,2019,1
80,,Ethiopia ,2019,4
81,Africa,Gabon,2019,1
82,Asia and the Pacific,India,2019,1
83,,India ,2019,121
84,Asia and the Pacific,Indonesia,2019,3
85,Arab Region,Iran,2019,3
86,,Iraq ,2019,8
87,Asia and the Pacific,Kazakhstan,2019,3
88,Africa,Liberia,2019,1
89,,Malawi ,2019,1
90,Arab Region,Mauritania,2019,1
91,Asia and the Pacific,Myanmar,2019,3
92,Asia and the Pacific,Pakistan,2019,5
93,Central and Eastern Europe,Russia,2019,3
94,,SriLanka,2019,3
95,Arab Region,Sudan,2019,2
96,,Syria ,2019,2
97,Central and Eastern Europe,Tajikistan,2019,2
98,Western Europe and North America,Turkey,2019,2
99,Western Europe and North America,United Kingdom,2019,1
100,Latin America and the Caribbean,"Venezuela, Bolivarian Republic of",2019,12
101,,Yemen ,2019,10
102,,Zimbabwe ,2019,1
103,Arab Region,Algeria,2020,1
104,Central and Eastern Europe,Azerbaijan,2020,1
105,Central and Eastern Europe,Belarus,2020,2
106,Africa,Burundi,2020,1
107,Africa,Chad,2020,2
108,Latin America and the Caribbean,Cuba,2020,1
109,Latin America and the Caribbean,Ecuador,2020,1
110,Arab Region,Egypt,2020,1
111,Africa,Ethiopia,2020,4
112,Africa,Guinea,2020,2
113,Asia and the Pacific,India,2020,107
114,,India ,2020,1
115,Asia and the Pacific,Iran (Islamic Republic of),2020,1
116,Arab Region,Iraq,2020,1
117,Arab Region,Jordan,2020,3
118,Africa,Kenya,2020,2
119,Asia and the Pacific,Kyrgyzstan,2020,1
120,Africa,Mali,2020,1
121,Asia and the Pacific,Pakistan,2020,1
122,Arab Region,Sudan,2020,2
123,Arab Region,Syrian Arab Republic,2020,1
124,Africa,"Tanzania, United Republic of",2020,1
125,Africa,Togo,2020,2
126,Western Europe and North America,Turkey,2020,1
127,Africa,Uganda,2020,1
128,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),2020,2
129,Asia and the Pacific,Viet Nam,2020,1
130,Arab Region,Yemen,2020,6
